release_id,artist,title,year,format,lowest_gbp,num_for_sale
17441113,Roy Ayers Ubiquity,Running Away / Love Will Bring Us Back Together,2021,"12"", RE",12.91,29
16068257,Rare Pleasure,Let Me Down Easy,2020,"7"", RSD, RE",10.5,13
33905673,Letta Mbulu,Nomalizo / Kilimanjaro Take Us Higher,2025,"12""",12.0,22
31997975,Alicia Myers,I Want To Thank You / Don't Stop What You're Doin,2024,"7""",13.81,19
16208682,Mad Honey,Upward Bound,2020,"12""",21.51,13
18154621,GALXTC,Life Is A Mirror,2021,"12""",22.54,25
20299102,Jambonne,Carpet Ride / Touch Down,2021,"7""",25.81,23
24480020,Mad Honey,Setback,2022,"12""",25.81,19
25331518,Jéroboam,Freakshow,2022,"12""",21.51,17
26422682,Jerry & The Melange / Bob & The Rustlers,New Room / Rustle Bob's Creek,2023,"12"", Ltd",17.0,19
28108237,Jéroboam,Turn Down The Lights ,2023,"12""",12.73,32
30169289,Another Taste,Another Taste,2024,"LP, Album, Tip",24.95,10
31942585,Collettivo Immaginario,Luce / Luna Gioia,2024,"12""",8.6,64
32971350,Arp Frique & The Perpetual Singers,The Another Taste Reworks,2025,"12""",10.15,34
33832128,Jambonne,"Jambonne, Jam On",2025,"7""",11.64,31
18423841,Common Saints (2),Idol Eyes,2021,"12"", EP, Ltd, RP, Whi",30.0,9
26158601,Eddie Chacon,Sundown,2023,"LP, Album",10.09,47
13895640,Patrice Rushen,Remind Me (The Classic Elektra Recordings 1978-1984),2019,"3xLP, Comp, RM",27.5,17
15564568,Greg Foat,Symphonie Pacifique,2020,"2xLP, Album",10.58,38
30421574,Greg Foat & Gigi Masin,The Fish Factory Sessions,2024,"LP, Album, RSD, Ltd, Tra",10.58,25
20519623,Oneness (6),Watching You,2021,"12"", RE",9.95,19
15042510,Sunlightsquare,I Believe In Miracles,2020,"7"", Single, Red",30.12,2
34808264,The CJP Band Ft Nolo (10),You And Me And The Music ,2025,"12"", Single",17.95,29
1874974,Bill Withers,+'Justments,1975,"LP, Album, RE",15.49,5
32535108,Vincent Arthur & Dagomba,Travel With The Music,2024,"12""",12.99,36
2930315,KC & The Sunshine Band,KC And The Sunshine Band,1975,"LP, Album, Mon",5.18,10
13412384,Marvin Gaye,You're The Man,2019,"2xLP, Album, Comp",16.35,93
1725651,Stevie Wonder,Innervisions,1973,"LP, Album, Gat",13.36,3
6247384,Fat Freddy's Drop,Based On A True Story,2009,"2xLP, Album, RE",51.63,2
7568442,Kendrick Lamar,To Pimp A Butterfly,2015,"2xLP, Album, Gat",20.0,106
12638505,The Phenomenal Handclap Band,Judge Not (Ray Mang Mixes),2018,"12""",9.29,12
13973334,Bonobo,Animal Magic,2019,"2xLP, Ltd, RE, Yel",50.77,6
22984388,Bobbi Humphrey,Baby Don't You Know,2022,"12"", RSD, Single, Ltd, Num, RE",14.0,35
16193479,Incognito,Wake Me (Louie Vega & Joe Claussell Remix),2020,"12""",22.2,6
35486398,Elements Of Life (3),Maria Fumaca / Giant Steps (Tito Puente Tribute),2025,"7""",11.06,27
27505026,Jim,Love Makes Magic,2023,"LP, Album",18.97,15
28497052,Jim,Phoenix,2023,"12""",,0
10153482,Marcos Valle,Vontade De Rever Você,2017,"LP, Album, RSD, RE",16.35,24
7427994,D'Angelo,Voodoo,2015,"2xLP, Album, RE, 180",25.81,45
15035253,Smoove,A Quest Called Tribe,2020,"7"", Single, Promo, Unofficial",20.0,6
32212869,Lawne,Attic,2024,"LP, Album",28.99,4
700471,Chaka Khan,I Feel For You,1984,"LP, Album",1.72,155
503889,Fleetwood Mac,Rumours,1977,"LP, Album",9.99,63
4954046,George Benson,Give Me The Night,1980,"LP, Album",1.0,86
20067715,Nala Sinephro,Space 1.8,2021,"LP, Album",18.93,21
13147887,Teymori,Teymori,2019,"12"", EP",,0
2915410,Lovebirds Feat. Stee Downes,Want You In My Soul,2011,"12""",67.98,15
16498887,Red Rack'Em,In Love Again ,2020,"12"", RP",8.52,17
23481923,Mankunku Quartet,Yakhal' Inkomo,2022,"LP, Album, RE, S/Edition",8.13,25
22587962,Radiohead,In Rainbows,2022,"LP, Album, RE, RP",21.43,97
8666501,Radiohead,A Moon Shaped Pool,2016,"2xLP, Album, Ltd, Whi",30.12,43
16298872,Leroy Burgess,One Plus One,2020,"12""",14.37,8
8117597,Joey Negro,Remixed With Love By Joey Negro (Vol. Two) (Part B),2016,"2x12"", Comp, Gat",120.0,8
12687173,Joey Negro,Remixed With Love By Joey Negro (Vol. Three) (Part One),2018,"2x12"", Comp",86.05,14
13927173,Various,Classic Tracks,2019,"12""",10.0,34
37863984,Seu Jorge,The Other Side ,2026,"LP, Album",,0
37776072,The Illusions (26) & Nathan Haines,Find Your Way,2026,"LP, M/Print",24.72,3
37050663,Nicola Conte,Terra Em Trasse / Naquela Base,2026,"7""",12.78,27
31944775,Gary Bartz,Music Is My Sanctuary / Carnaval De L'Esprit,2024,"12""",13.97,17
37126482,The Universal Robot Band,Barely Breaking Even,2026,"12"", RSD, RE",14.95,49
37068723,DJ Koco A.K.A. Shimokita,Cuban Boxset: Mr Bongo x DJ Koco,2026,"5x7"" + Box, RSD, Comp, Ltd",30.0,64
37061484,Fruko Y Sus Tesos / The Latin Brothers,A La Memoria Del Muerto / Buscándote,2026,"7""",12.99,16
3366766,James Mason,I Want Your Love,2012,"12"", RE",5.16,58
37658283,Marcia Griffiths / Brentford Disco Set,Feel Like Jumping / Feel Like Jumping Pt.2,2026,"7"", Single, Ltd, Pin",12.0,17
37608078,Dawn Penn / Jackie Mittoo,No No No / Ghetto Organ,2026,"7"", Single, Ltd, Ora",12.0,17
37142373,Another Taste,Another Taste II,2026,"LP, Album",20.45,62
36802948,Shy One (3),Mali,2026,LP,23.86,16
36588826,Jorge Ben,Jorge Ben,2026,"LP, Album, RE",23.84,79
37525128,Tara Clerkin Trio,Somewhere Good,2026,"LP, Album",22.16,40
37016478,Dave Lee,Remixed With Love By Dave Lee (Selected Works) ,2026,"2x12"", Comp, Ltd, RE, Gat",25.57,46
