release_id,artist,title,year,format,lowest_gbp,num_for_sale
20316430,Herbie Hancock,Maiden Voyage,2021,"LP, Album, RE, 180",18.93,99
28647640,Richard Hawley,Now Then: The Very Best Of Richard Hawley,2023,"LP, Blu + LP, Whi + Comp",14.8,25
223279,Gwen Guthrie,Ain't Nothin' Goin' On But The Rent,1986,"12"", Single",0.85,112
14214956,Caserta,Luther,2019,"7"", Unofficial",21.51,8
11427555,Various,We Out Here,2018,"2xLP, Album, Comp",13.0,30
13308241,Kokoroko,Kokoroko,2019,"12"", EP",15.0,45
13909511,Various,Sunny Side Up,2019,"2xLP, Album, Comp, Ltd, Mag",17.01,5
17674654,STR4TA,Aspects,2021,"LP, Album",15.48,41
20089537,Secret Night Gang,The Sun,2021,"12"", Ltd, 3D ",9.49,7
15950453,STR4TA,Aspects,2020,"12"", Ltd, W/Lbl, Han",34.99,13
167144,Vaughan Mason & Crew,"Bounce, Rock, Skate, Roll",1979,"12""",0.74,85
10438371,Gladys Knight And The Pips,Love Is Always On Your Mind / Bourgie' Bourgie',2017,"12"", RE, RM",8.6,35
11297919,Rotary Connection,"Hey, Love",2001,"LP, Album, RE",30.73,1
3215835,"Earth, Wind & Fire",The Best Of Earth Wind & Fire Vol. I,1978,"LP, Comp, Gat",0.86,67
19006294,Toast (13),It's Just An Illusion,2021,"7"", RE",28.0,12
16243927,"Everton F.C., Liverpool Express",Spirit Of The Blues,2020,"7"", Ltd",,0
35501086,Various,Classic Classic Chapter 02,2025,"2x12"", Comp",22.16,25
26559515,Charles Earland,Coming To You Live,2023,"7"", Single",11.33,26
15794842,Nubya Garcia,Source,2020,"2xLP, Album, Ltd, Tur",20.0,17
28984837,Various,Congress Productions,2023,"12""",10.0,35
16076927,Family Of Swede,Set You Free,2020,"12"", Single",9.99,7
19255024,Tashan,This Could Be,2021,"7""",9.25,7
100002,Sister Sledge,We Are Family,1979,"LP, Album",1.48,33
33024036,Various,Fania Records: The Latin Sound Of New York (1964-1978),2025,"2xLP, Comp",22.94,24
20571544,Da Lata,Jungle Kitten ,2021,"12"", Ltd, Ora",20.78,4
26438102,Jimetta Rose & The Voices Of Creation,How Good It Is,2023,"LP, Album",18.5,17
16048651,Eddie Chacon,"Pleasure, Joy And Happiness",2020,LP,18.5,22
1151061,The Rolling Stones,Get Yer Ya-Ya's Out! (The Rolling Stones In Concert),1970,"LP, Album",5.0,114
18104200,Myele Manzanza,Crisis & Opportunity (Vol 1) (London),2021,"LP, Album",17.21,4
34175350,Various,Pacha House Classics,2025,"3x12"", Comp, Ltd",39.99,16
26907686,Shaun Escoffery,Days Like This,2023,"12"", RM",13.88,12
15077329,Jimmy James & The Vagabonds / Sonya Spence,This Heart Of Mine / Let Love Flow On,2020,"7"", Single",40.0,2
26201468,Rogê,Curyman,2023,"LP, Album",24.95,6
14508440,Sweet Mixture,I Love You,2020,"7"", RE, RM",8.88,8
15554784,Mandisa (2),Summer Love / Love's Dream,2020,"7"", RE, RM",6.88,18
27089340,Cristina Camargo,Moral Tem Hora,2023,"7"", Single",12.05,22
14402381,Starcrost,False Paradise,2019,"7"", Single",13.76,7
2253743,Aquarian Dream (2),Fantasy,1978,"LP, Album",30.31,13
21706189,Various,Lost In Translation (Music From The Motion Picture Soundtrack),2022,"LP, RE, RP",12.91,116
13483436,The Isley Brothers,Footsteps In The Dark (Part 1 & 2) / Between The Sheets,2019,"7"", RSD",10.33,13
3460957,Sade,Diamond Life,1984,"LP, Album, Gat",4.42,73
12699472,George Duke,I Want You For Myself (Tom Moulton Mix),2018,"12"", Single, RE",12.0,25
3027858,Various,Eros,2011,"12"", Unofficial",7.55,30
11855145,Stevens & Foster,What Would I Have (If I Didn't Have You),2018,"7"", RE",34.38,7
15504898,Brenda Lee Jones,Super Stroke / Big Mistake,2020,"7"", RE",11.83,4
11434445,Gwen McCrae,Keep The Fire Burning / Funky Sensation,2018,"12"", RE",14.0,21
12915462,Sylvia Striplin,Give Me Your Love / You Can't Turn Me Away,2018,"12"", RE, 180",14.79,20
12523918,Marcos Valle,Nova Bossa Nova,2018,"LP, RE, 180",22.0,12
23003426,Azymuth,Light As A Feather,2022,"LP, Album, RSD, Ltd, RE, RM, Blu",21.05,20
13783740,Marcos Valle,Sempre,2019,"LP, Album",18.93,20
21123538,Alex Malheiros,Tempos Futuros,2021,"LP, Album",34.41,1
36638488,Fabiano Nascimento & Orquestra De Vittor Santos,Vila,2026,"LP, Album",22.0,9
30431192,Azymuth,Jazz Carnival,2024,"12"", RSD, Ltd",11.38,32
31407410,Marcos Valle & Leon Ware,Feels So Good,2024,"7"", Single, Ltd",15.0,11
7137088,Various,"Brazilian Disco Boogie Sounds (Extended 12"" Versions)",2015,"12""",8.99,30
14114206,Andromeda Orchestra,Don't Stop,2019,"12""",9.61,5
6403221,Tame Impala,Lonerism,2014,"2xLP, Album, RE",17.0,123
32545953,Lynda Dawn,11th Hour,2024,LP,25.73,7
12183299,Yazmin Lacey,When The Sun Dips 90 Degrees,2018,"12"", EP",6.27,38
31444151,Various,Love & Purpose: A Celebration of British Soul Music,2024,"2xLP, Comp",30.0,4
29657095,Takuya Kuroda,Rising Son,2024,"2xLP, Album, RE",23.85,54
25032481,Gil Scott-Heron,Pieces Of A Man,2022,"2x12"", Album, RE, RM, 180",31.63,18
14025860,Sault,5,2019,"LP, Album",22.99,7
15912430,Sault,Untitled (Black Is),2020,"2xLP, Album",7.74,88
16141600,Sault,Untitled (Rise),2020,"2xLP, Album",7.74,119
20408065,Sault,Nine,2021,"LP, Album",9.99,185
