Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"JAG312LP-C2, JAG312",Jamila Woods,Heavn,"Jagjaguwar, Closed Sessions","LP, Album, Club, Ltd, Cle",,2017,11010042,Uncategorized,2019-02-23 12:07:35,,,
JIAOLONG023,Daphni,Sizzling EP,Jiaolong,"12"", EP",,2019,13798584,Uncategorized,2019-07-01 11:43:46,,,
NE 1420,Al Green,Hi Life - The Best Of Al Green,K-Tel,"LP, Comp",,1988,1248437,Uncategorized,2019-02-23 12:37:07,,,
KALITA LP006,Al-Dos Band,Doing Our Thing With Pride,Kalita Records,LP,,2021,19605823,Uncategorized,2021-09-04 13:55:57,,,
KD-056,"Kenny ""Dope"" Gonzalez Featuring Daniel Rojo",Que Se Sepa ,Kay-Dee Records,"7"", Single, Bla",,2025,34248283,Uncategorized,2025-10-15 05:51:10,,,
KITTO001,Andrew Ashong And Kaidi Tatham,Sankofa Season ,Kitto Records,"12""",,2020,17244949,Uncategorized,2021-05-15 03:28:45,,,
KFR2015-1,Fela Kuti & Africa 70,Expensive Shit,"Knitting Factory Records, Soundworkshop Records, Kalakuta Sunrise","LP, Album, RE",,0,12364621,Uncategorized,2020-05-12 12:05:13,,,
ALNLP28,Various,LateNightTales Presents Music For Pleasure,LateNightTales,"2xLP, Comp, Ltd, Mixed + CD, Comp, Mixed",,2012,3709322,Uncategorized,2019-02-23 12:09:14,,,
ALNLP38,Various,LateNightTales Presents Automatic Soul ,LateNightTales,"3xLP, Comp",,2014,6291680,Uncategorized,2019-02-23 12:08:54,,,
LONX 51,Sivuca,Ain't No Sunshine,London Records,"12""",,1984,616889,Uncategorized,2019-03-10 16:35:16,,,
6 80899 0097-1-3,"Floating Points, Pharoah Sanders & London Symphony Orchestra",Promises,Luaka Bop,"LP, Album, Ltd, 180",,2021,17985154,Uncategorized,2021-04-01 04:17:06,,,
LH7082,Dee Edwards,Why Can't There Be Love / I Can Deal With That,Luv N' Haight,"7"", Single, Ltd",,2019,13346613,Uncategorized,2019-03-15 20:42:58,,,
LH7090,Darondo,Listen To My Song,Luv N' Haight,"7"", RE",,2019,14259217,Uncategorized,2019-10-25 21:35:39,,,
MAR 035,Various,Disco É Cultura ,Mad About Records,"LP, Comp, Ltd, Num, RM, 180",,2020,16051697,Uncategorized,2020-12-11 14:30:27,,,
M.M-48,Andrés,Praises,Mahogani Music,"12""",,2021,19399870,Uncategorized,2022-06-23 03:50:19,,,
MK65005,Gary Bartz,Music Is My Sanctuary / Carnaval De L'Esprit,Major Keys,"12""",,2024,31944775,Uncategorized,2026-07-10 11:17:29,,,
MCA-23520,Thelma Houston,"You Used To Hold Me So Tight (12"" Version)",MCA Records,"12"", Pin",,1984,129982,Uncategorized,2019-02-23 12:19:17,,,
MCG 4007,Rufus & Chaka Khan,Masterjam,MCA Records,"LP, Album, Gat",,1979,1139582,Uncategorized,2021-10-24 07:04:27,,,
ABCL 5225,Steely Dan,Aja,"MCA Records, ABC Records","LP, Album, RE, Gat",,0,5653359,Uncategorized,2019-03-10 16:31:37,,,
"ABCL 5024, ABCX 758",Steely Dan,Can't Buy A Thrill,"MCA Records, ABC Records, ABC Records","LP, Album, RE",,0,7361475,Uncategorized,2019-02-23 12:50:26,,,
"MCF 3090, MCA 6102",Steely Dan,Gaucho,"MCA Records, MCA Records","LP, Album",,1980,9870228,Uncategorized,2019-02-23 12:51:29,,,
MCDE 1202,Motor City Drum Ensemble,Raw Cuts # 3 / Raw Cuts # 4,MCDE,"12""",,2008,1487139,Uncategorized,2019-02-23 12:13:02,,,
MELP001,Various,Melodies International Presents Ariwa Sounds,"Melodies International, Ariwa Sounds","LP, Comp",,2026,38054094,Uncategorized,2026-08-05 08:53:54,,,
"MEL002, MEL003, MEL004, MEL4XX",Aged In Harmony,You're A Melody,"Melodies International, Melodies International, Melodies International, Melodies International","3x7"", Comp, Ltd, RM",,2016,8846793,Uncategorized,2021-07-16 05:07:10,,,
MOL002,Various,Melodies Of Love 002,Melodies of Love,"12""",,2025,36055231,Uncategorized,2026-01-06 12:18:08,,,
MEX369,Sessa,Pequena Vertigem De Amor,Mexican Summer,"LP, Album",,2025,35604226,Uncategorized,2025-11-23 09:32:32,,,
MNR003,"Middle Name Dance Band, Sampology, Sam Stosuur, Megan Christensen",Middle Name Dance Tracks Vol. 2,Middle Name Records,"12"", EP",,2020,15302072,Uncategorized,2020-07-12 20:12:14,,,
MA001,Rokk,Patience / From Within,Miles Away (2),"7""",,2019,13115049,Uncategorized,2020-05-15 13:06:39,,,
MDDLTD-1204 ,Million Dollar Disco Machine,The Loneliest One,Million Dollar Disco,"12"", S/Sided",,2021,18481093,Uncategorized,2021-05-15 13:11:26,,,
MJC129007LP,Various,The Congregation - Jazz Alliance International,Mono Jazz,"2xLP, Dlx, Gat",,2024,29883784,Uncategorized,2024-09-10 15:25:46,,,
MG103DP,The Universal Robot Band,Barely Breaking Even,Moonglow (4),"12"", RSD, RE",,2026,37126482,Uncategorized,2026-05-31 01:40:55,,,
MT-19008 ,Los Hermanos,Another Day,Mother Tongue Records (2),"12"", EP",,2020,16432593,Uncategorized,2023-08-17 01:59:33,,,
MOT-2852,Eddie Kendricks / Diana Ross,Date With The Rain / The Boss,Motown,"12""",,1988,1877994,Uncategorized,2019-02-23 12:19:47,,,
"M-804LP3, M 804LP3",Stevie Wonder,Looking Back,"Motown, Motown","3xLP, Comp, Ltd",,1977,556049,Uncategorized,2019-02-23 12:33:36,,,
"TMSP 6002, 0C 158-98 261-3",Stevie Wonder,Songs In The Key Of Life ,"Motown, Motown","2xLP, Gat + 7"", P/Mixed + Album",,1976,5415885,Uncategorized,2019-02-23 12:31:52,,,
00602557018066,Erykah Badu,Baduizm,"Motown, Universal Music Group International","2xLP, Album, RE, Gat",,2016,9401499,Uncategorized,2026-02-11 12:37:55,,,
MVMTT04LPC,Emma-Jean Thackray,Yellow,Movementt,"2xLP, Album, Ltd, Cle",,2021,19420858,Uncategorized,2021-08-14 03:42:14,,,
BRZ45.013,Joyce / Rosinha de Valença,Aldeia De Ogum / Summertime,Mr Bongo,"7"", Single",,2014,6096233,Uncategorized,2019-12-11 11:28:17,,,
BRZ45.021,Azymuth / Osmar Milito E Quarteto Forma,Manhã / America Latina,Mr Bongo,"7""",,2015,6545342,Uncategorized,2020-06-24 11:26:42,,,
BRZ45.030,Marcos Valle / Lincoln Olivetti & Robson Jorge,Estrelar / Aleluia,Mr Bongo,"7""",,2015,7314498,Uncategorized,2019-12-04 10:55:21,,,
BRZ45.043,Evinha,Esperar Pra Ver  ,Mr Bongo,"7"", Single",,2016,8348348,Uncategorized,2020-04-11 13:32:15,,,
BRZ45.056,Banda Black Rio,Maria Fumaça  ,Mr Bongo,"7"", Single",,2016,9150734,Uncategorized,2024-02-28 13:23:33,,,
BRZ45.076,Neno Exporta Som / Agnaldo Rayol,Deixa A Tristeza / Sumaúma,Mr Bongo,"7"", Single",,2019,12354229,Uncategorized,2020-03-09 11:36:17,,,
BRZ45.077,Marcia Maria / Simone (3),Amigo Branco / Tudo Que Você Podia Ser,Mr Bongo,"7"", Single",,2019,14765223,Uncategorized,2020-03-10 21:06:09,,,
MRB 7222,Bill Withers And Studio Rio,Lovely Day,Mr Bongo,"7"", Single",,2024,30509629,Uncategorized,2024-05-11 05:23:46,,,
MRB12061,Luke Una,Mr Bongo Edits Volume 2,Mr Bongo,"12""",,2024,30172760,Uncategorized,2024-04-05 07:38:11,,,
MRB7157,Jungle Brown (2),Keep It Movin’ / We On,Mr Bongo,"7"", Single, Ltd, Promo, W/Lbl",,2019,14000489,Uncategorized,2019-08-22 12:10:01,,,
MRB7161,Gang Starr,Jazz Thing,Mr Bongo,"7"", RE",,2020,14992332,Uncategorized,2020-04-11 13:30:54,,,
MRB7206,"Kenny ""Dope"" Gonzalez",Brazil45: Mr Bongo x Kenny Dope,Mr Bongo,"5x7"" + Box, RSD, Comp, Ltd",,2022,22977998,Uncategorized,2022-04-23 04:33:11,,,
MRB7211,Don Blackman,Say You'll Be Mine,Mr Bongo,"7""",,2023,27530352,Uncategorized,2023-07-29 11:53:37,,,
MRB7219,DJ Koco A.K.A. Shimokita,Brazil45: Mr Bongo x DJ Koco,Mr Bongo,"5x7"" + Box, RSD, Comp, Ltd",,2024,30430802,Uncategorized,2024-04-24 10:12:02,,,
MRB7226,BadBadNotGood,Brazil45: Mr Bongo x BadBadNotGood,Mr Bongo,"5x7"", RSD, Comp, Ltd, Box",,2025,33584004,Uncategorized,2025-04-12 06:42:17,,,
MRB7235,DJ Koco A.K.A. Shimokita,Cuban Boxset: Mr Bongo x DJ Koco,Mr Bongo,"5x7"" + Box, RSD, Comp, Ltd",,2026,37068723,Uncategorized,2026-04-27 10:18:20,,,
MRBLP022,Seu Jorge,Carolina,Mr Bongo,"2xLP, Album",,2002,848317,Uncategorized,2019-12-11 11:27:56,,,
MRBLP046,Various,Brazilian Beats Brooklyn,Mr Bongo,"2xLP, Comp, RP",,2022,23815751,Uncategorized,2022-10-28 06:49:29,,,
MRBLP108,Ebo Taylor,Ebo Taylor,Mr Bongo,"LP, Album, RE",,2022,25043104,Uncategorized,2024-02-28 13:23:04,,,
MRBLP133PN,Arthur Verocai,Arthur Verocai,Mr Bongo,"LP, Album, RE, RM, Gat",,2024,31306260,Uncategorized,2025-10-15 05:50:48,,,
MRBLP141,Various,Mr Bongo Record Club Volume One,Mr Bongo,"2xLP, Comp",,2016,9282972,Uncategorized,2023-07-29 11:55:24,,,
MRBLP165,Various,Mr Bongo Record Club Volume Three,Mr Bongo,"2xLP, Comp",,2019,13474217,Uncategorized,2019-08-07 12:14:45,,,
MRBLP230,Sandra De Sá,Vale Tudo,Mr Bongo,"LP, Album, RE",,2021,18584734,Uncategorized,2021-11-27 08:44:15,,,
MRBLP237,Various,Mr Bongo Record Club Volume Five,Mr Bongo,"2xLP, Comp",,2022,22507847,Uncategorized,2023-09-27 07:01:26,,,
MRBLP244,Luke Una,É Soul Cultura,Mr Bongo,"2xLP, Comp",,2022,22967606,Uncategorized,2022-05-09 11:49:07,,,
MRBLP260,Miche (8),With Love Volume 1,Mr Bongo,"2xLP, Comp, Ltd, Yel",,2022,24627710,Uncategorized,2023-07-29 11:54:08,,,
MRBLP262,СОЮЗ (2),Force Of The Wind,Mr Bongo,"LP, Album",,2022,24951277,Uncategorized,2023-06-26 06:08:00,,,
MRBLP265,Various,Tudo Ben (Jorge Ben Covered),Mr Bongo,"2xLP, Comp, RE",,2023,26278544,Uncategorized,2023-07-29 11:54:32,,,
MRBLP268,Luke Una,É Soul Cultura Volume 2,Mr Bongo,"2xLP, Comp",,2023,27359775,Uncategorized,2023-06-12 05:46:38,,,
MRBLP270,Various,Mr Bongo Record Club 6,Mr Bongo,"2xLP, Comp",,2023,27506742,Uncategorized,2023-09-30 11:03:56,,,
MRBLP302,Horse Meat Disco,Disco & Boogie From Brazil Vol.1,Mr Bongo,"2xLP, Comp, Gre",,2025,33481571,Uncategorized,2025-04-20 02:46:16,,,
MRBLP305,Finn Rees,Dawn Is A Melody,Mr Bongo,"2x12"", Album",,2024,31122719,Uncategorized,2024-07-03 05:17:44,,,
MRBLP318,СОЮЗ (2),Крок = Krok,Mr Bongo,"LP, Album",,2025,35471257,Uncategorized,2025-11-07 11:55:14,,,
MRBLP328,Luke Una,É Soul Cultura Volume 3,Mr Bongo,"2xLP, Comp",,2026,36719113,Uncategorized,2026-03-22 06:05:54,,,
"MRBLP189 , ARLP-4005",Trio Mocotó,Trio Mocotó,"Mr Bongo, Arlequim","LP, Album, RE, RM",,2019,13207696,Uncategorized,2019-12-04 19:43:00,,,
"MRBLP156, BR 30.068",Tim Maia,Disco Club,"Mr Bongo, Atlantic","LP, Album, RE",,2018,11708752,Uncategorized,2019-08-07 12:13:28,,,
BRZ45060,Quinteto Ternura / Trio Ternura,Baby / Filhos De Zambi ,"Mr Bongo, Brazil45","7"", Single, RE",,2019,14681173,Uncategorized,2023-02-24 04:50:09,,,
MRBLP269R,Bala Desejo,Sim Sim Sim,"Mr Bongo, Coala Records","LP, Album, Ltd, Red",,2023,27364287,Uncategorized,2023-08-02 03:14:19,,,
"MRB7174, none",Souls Of Mischief,93 'Til Infinity,"Mr Bongo, Jive","7"", Ltd",,2020,15862351,Uncategorized,2020-11-03 13:05:12,,,
"MRB 7159, MRB7159, S - 646, S 646",Solat,"Change The World / Try, Try","Mr Bongo, Mr Bongo, Poker (2), Poker (2)","7"", Single, RE",,2020,14888945,Uncategorized,2020-03-09 11:34:37,,,
"MRB7156, 101.0195",Zé Roberto,Lotus 72 D,"Mr Bongo, RCA Victor, RCA","7"", Single, RE",,2019,13783116,Uncategorized,2019-08-07 12:12:50,,,
MRBLP271,Various,Hidden Waters: Strange And Sublime Sounds Of Rio De Janeiro,"Mr Bongo, Sounds And Colours","2xLP, Comp",,2023,27089109,Uncategorized,2023-07-29 11:55:10,,,
"MRBLP161, TL 14061",Jackson Sisters,Jackson Sisters,"Mr Bongo, Tiger Lily Records","LP, Album, RE",,2018,12191547,Uncategorized,2019-02-23 12:29:12,,,
MUKAT 061,Eko Roosevelt Louis / Georges Ouedraogo,Afro Funk & Disco Gems (Volume Nine),Mukatsuku Records,"7"", Ltd",,2019,13301732,Uncategorized,2019-05-20 13:08:58,,,
Mukat 070,Pat Thomas (3) & Marijata,Original Ghanaian Highlife & Afrobeat Classics,Mukatsuku Records,"7"", Ltd, Num",,2020,15246064,Uncategorized,2020-06-03 10:26:53,,,
MUKAT 071,Devon Russell,Reggae Soul Tribute To Curtis Mayfield,Mukatsuku Records,"7"", Single, Ltd",,2020,15291486,Uncategorized,2020-06-03 10:25:27,,,
MUKAT 090,C.R.A.C.,You're Everything To Me,Mukatsuku Records,"7""",,2023,28767517,Uncategorized,2024-05-11 05:25:51,,,
MUKAT 091,Echoes Of A New Dawn Orchestra,Substream,Mukatsuku Records,"12"", Ltd, Num, 180",,2024,29512423,Uncategorized,2024-02-05 03:12:46,,,
MUKAT 092,Espen Horne,Bakeren,Mukatsuku Records,"7"", Ltd, Num",,2024,29968423,Uncategorized,2024-05-11 05:26:16,,,
MOVLP3883,Gilles Peterson,Timeless Jazz Classics Volume 2,Music On Vinyl,"2xLP, RSD, Comp, Ltd, Num, Blu",,2025,33650484,Uncategorized,2025-04-29 13:41:42,,,
MOVLP3674,Gilles Peterson,Timeless Jazz Classics Volume 1,"Music On Vinyl, Timeless Records (3)","2xLP, RSD, Comp, Ltd, Num, RE, Sil",,2024,30427715,Uncategorized,2024-04-28 04:44:35,,,
MCRC-001,Island Times Deejay,Mystical Circles 01,Mystical Circles,"12"", Ltd, Promo, 180",,2021,17239606,Uncategorized,2021-08-14 03:45:48,,,
"NAYA-004, NAYA-004LP",Asha Puthli,Space Talk (With Remixes By Dimitri From Paris),"Naya Beat Records, Naya Beat Records","12""",,2023,26920379,Uncategorized,2026-01-24 04:47:12,,,
NEED001,Rare Pleasure /  The Fatback Band,Let Me Down Easy / Spanish Hustle,Need Records (2),"12""",,2019,13648709,Uncategorized,2019-06-26 12:55:44,,,
ND 012,Miles Spilsbury,Light Manoeuvres,New Dawn (6),"LP, Album, W/Lbl",,2023,26829836,Uncategorized,2023-05-12 11:09:59,,,
NEW9253LP,Zero 7,Simple Things,New State Music,"2xLP, Album, RE, RM, 180",,2018,12388769,Uncategorized,2019-02-23 12:05:49,,,
NEW9271LP ,Zero 7,When It Falls,"New State Music, Seven (8)","2xLP, Album, RE, RM, 180",,2019,13965784,Uncategorized,2020-06-03 10:12:05,,,
"NG 05, NG05",Nu Genea,Bar Mediterraneo,"NG Records (5), NG Records (5)","LP, Album",,2022,23192537,Uncategorized,2022-07-27 03:07:26,,,
"NG01, NG 01",Nu Guinea,Nuova Napoli,"NG Records (5), NG Records (5)","LP, Album, RP, Nu ",,2018,12097296,Uncategorized,2019-05-21 19:33:06,,,
ND024,Stargazers (3),Stargazers,Night Dreamer,"LP, Album, Num, Rec",,2025,35785837,Uncategorized,2026-02-25 04:59:37,,,
ZEN 42,Mr. Scruff,Keep It Unreal (20th Anniversary Edition),Ninja Tune,"2x12"", Album, Ltd, RE, Gre",,2019,14242659,Uncategorized,2019-10-10 22:12:39,,,
ZEN 59XX,The Cinematic Orchestra,Every Day,Ninja Tune,"3xLP, Album, Dlx, Ltd, RE, Red",,2023,26745971,Uncategorized,2023-04-14 03:54:09,,,
ZEN140X,Bonobo,Black Sands,Ninja Tune,"2xLP, Album, Ltd, Red",,2020,16286279,Uncategorized,2020-12-11 14:32:41,,,
ZEN290,Róisín Murphy,Hit Parade,Ninja Tune,"2xLP, Album",,2023,28154968,Uncategorized,2024-04-24 10:19:26,,,
none,Madison McFerrin,You + I,Not On Label,"12"", EP, Ltd, Num, Cle",,2019,14660470,Uncategorized,2020-05-15 13:07:00,,,
ADMIN 002,Admin,Halo / Rivers,Not On Label (Admin Self-released),"7"", Ltd, W/Lbl",,2022,23803919,Uncategorized,2022-07-27 03:06:30,,,
SW234223,Anderson .Paak,Malibu,"OBE, Steel Wool Records, Membran","2xLP, Album, 180",,2016,8827787,Uncategorized,2020-09-01 15:25:00,,,
OOT005,Kansas City Express,This Is The Place,Ocean Of Tears,"7"", RE",,2019,14190889,Uncategorized,2020-06-05 14:28:51,,,
OOT007,Gold (16),You Are So Wonderful / Without You,Ocean Of Tears,"7""",,2020,15489714,Uncategorized,2020-06-22 11:01:57,,,
OMLP001,HNNY,Sunday,Omena,"LP, Dlx, 180",,2015,7341336,Uncategorized,2020-03-25 15:07:58,,,
OYO002LP,Yazmin Lacey,Voice Notes,Own Your Own Records,"2xLP, Album",,2023,27083859,Uncategorized,2024-02-05 03:11:38,,,
DEMREC508,Various,P&P Disco,"P&P Records, Demon Records","2xLP, Comp, 180",,2019,14343535,Uncategorized,2023-03-16 13:36:03,,,
PAN011,Fruko Y Sus Tesos / The Latin Brothers,A La Memoria Del Muerto / Buscándote,Panorama (38),"7""",,2026,37061484,Uncategorized,2026-07-10 11:19:04,,,
106025XB,Sundown (8),Spaced Outta Place,"Parkside Records, Sound Signature","7"", RE",,2022,22529090,Uncategorized,2023-02-27 09:31:58,,,
PCS 3058,The Beatles,A Hard Day's Night,Parlophone,"LP, Album, Nar",,1964,4791171,Uncategorized,2019-02-23 12:45:36,,,
KZ 32408,The O'Jays,Ship Ahoy,Philadelphia International Records,"LP, Album, RE, Gat",,0,8565519,Uncategorized,2019-02-23 12:31:25,,,
PIR 13 A2031 AB,The Jones Girls,Nights Over Egypt,Philadelphia International Records,"12"", RE, RM",,2018,11542470,Uncategorized,2019-04-09 15:27:04,,,
"PZ 34389, 34389",Billy Paul,Let 'Em In,"Philadelphia International Records, Philadelphia International Records","LP, Album, San",,1976,1709773,Uncategorized,2019-02-23 12:38:10,,,
PP1004,Sven Wunder,Late Again,Piano Piano,"LP, Album",,2023,27736119,Uncategorized,2023-09-30 11:03:29,,,
PP1005SRD2,Sven Wunder,Daybreak,Piano Piano,"LP, Album, Ltd, Blu",,2025,35204989,Uncategorized,2025-10-06 06:31:43,,,
PF 005,Alex Kassian,Leave Your Life,Pinchy & Friends,"12"", EP",,2021,18308632,Uncategorized,2022-02-22 10:43:07,,,
Pf006,Alex Kassian,Strings Of Eden ,Pinchy & Friends,"12""",,2022,23222693,Uncategorized,2022-10-28 06:45:19,,,
FAKE122,Fire Island Ft.  Loleatta Holloway,Shout To The Top (Hifi Sean Mixes),Plastique Recordings,"12""",,2021,18209002,Uncategorized,2021-05-15 03:26:35,,,
"PMD01, none",Azwon,Paradise Island,"Pressure Makes Diamonds, JBF Records (3)","12""",,2019,13865109,Uncategorized,2020-05-12 12:02:41,,,
"SPBA 6282, 0C 064 ◦ 95272",Steely Dan,Pretzel Logic,"Probe, Probe","LP, Album, Bei",,1974,1445355,Uncategorized,2019-03-10 16:32:41,,,
RSRLTD001,Skye (7),Ain’t No Need / Ain’t No Need (Dance),Rain&Shine,"7"", Ltd, Num, RE",,2018,12877101,Uncategorized,2020-05-13 14:00:32,,,
RNT038,Mr. K,Mr. K Edits,Razor-N-Tape,"12""",,2019,13504530,Uncategorized,2019-10-25 21:36:03,,,
RNT047,COEO,COEO Edits,Razor-N-Tape,"12""",,2019,13568476,Uncategorized,2019-05-12 08:25:40,,,
RNTR073,Tom Noble (3) Presents House Of Spirits (2),House Of Spirits,"Razor-N-Tape Reserve, Superior Elevation Records","2x12"", Album",,2024,32419512,Uncategorized,2024-11-30 06:49:05,,,
"LSP 4702, 26.21089",David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,"RCA Victor (2), RCA Victor (2)","LP, Album, Unofficial, Pin",,0,5657211,Uncategorized,2019-02-23 12:48:52,,,
REWARM020LP,Luke Una,Everything Above The Sky ,RE:WARM,"2xLP, Comp",,2024,31952045,Uncategorized,2024-10-19 10:10:15,,,
RFC 3438,Change,The Glow Of Love,"RFC Records, Warner Bros. Records","LP, Album, Los",,1980,94532,Uncategorized,2019-02-23 12:24:09,,,
Roulé 305,Stardust,Music Sounds Better With You,Roulé,"12"", S/Sided, Etch, RE, MPO",,2013,5167490,Uncategorized,2019-05-21 19:30:12,,,
"RH-RSS 3, RH RSS 3",James Mason,I Want Your Love,"Rush Hour (4), Rush Hour (4)","12"", RE",,2012,3366766,Uncategorized,2026-06-28 11:13:46,,,
SACREDMEDICINE 05,Ron Trent Ft. Angel Luis Figueroa And Pablo Color,Electric Jungle,Sacred Medicine,"12"", Ltd, Flu",,2026,37291038,Uncategorized,2026-08-05 08:59:56,,,
SALSBMG14,Late Nite Tuff Guy,Late Nite Tuff Guy Reworks,Salsoul Records,"12""",,2018,11894956,Uncategorized,2019-02-23 12:15:36,,,
NER 25124,Rhyze / John Davis & The Monster Orchestra,Free / Love Magic,Sam Records,"7""",,2020,16278978,Uncategorized,2021-02-13 01:21:51,,,
SC721 ,Mario Biondi,This Is What You Are,Schema,"7"", Single",,2019,13671044,Uncategorized,2019-12-06 22:55:32,,,
SC725,Nicola Conte / Gianluca Petrella,People Need People / The Higher Love,Schema,"7"", Single",,2021,20232391,Uncategorized,2021-10-05 13:16:47,,,
SEKITO007,Alfa Mist,On My Ones,Sekito,"10"", EP, Ltd",,2020,14857305,Uncategorized,2020-03-28 10:50:10,,,
SS7001P,Minnie Riperton,Les Fleur / Oh! By The Way,Selector Series (2),"7"", RSD, Single, RE",,2020,15800501,Uncategorized,2020-08-29 10:29:16,,,
19075891581,Ashley Henry,Beautiful Vinyl Hunter,Sony Music,"2xLP, Album",,2019,14100359,Uncategorized,2020-05-15 13:07:26,,,
SB7043,Tania Maria,Come With Me,Soul Brother Records (3),"7"", RE",,2022,24013148,Uncategorized,2022-10-28 06:50:25,,,
SJR 337C-7,Marcia Griffiths / Brentford Disco Set,Feel Like Jumping / Feel Like Jumping Pt.2,Soul Jazz Records,"7"", Single, Ltd, Pin",,2026,37658283,Uncategorized,2026-06-28 11:18:32,,,
SJR 339C-7,Dawn Penn / Jackie Mittoo,No No No / Ghetto Organ,Soul Jazz Records,"7"", Single, Ltd, Ora",,2026,37608078,Uncategorized,2026-06-28 11:17:13,,,
SJR 454 BOX,Various,Brazil Funk Power,Soul Jazz Records,"5x7"", RM + Box, RSD, Comp, Ltd",,2020,15526429,Uncategorized,2020-08-29 10:29:54,,,
SJR LP461,Various,Cuba: Music And Revolution (Culture Clash In Havana Cuba: Experiments In Latin Music 1975-85 Vol. 1),Soul Jazz Records,"3xLP, Comp",,2021,16792446,Uncategorized,2021-02-25 02:44:52,,,
SSR45005,Soul Supreme (4),Award Tour (We Gettin' Down) / Bonita Applebum (Daylight),Soul Supreme Records,"7""",,2022,22738766,Uncategorized,2022-04-25 03:19:16,,,
SS077,"Theo Parrish, Lori (32), Silentjay, Perrin Moss, Simon Mavin, Paul Bender (2)",What You Gonna Ask For,Sound Signature,"12""",,2019,14015179,Uncategorized,2019-08-27 11:22:06,,,
SF01,Kaidi Tatham,Feeling Happy / Sooner Or Later,Sounds Familiar (3),"7""",,2021,18809407,Uncategorized,2021-12-08 05:33:18,,,
SNDW12025,Steve Monite / Tabu Ley Rochereau,Only You / Hafi Deo,Soundway,"12""",,2017,10710133,Uncategorized,2019-06-05 21:27:41,,,
SNDWLP047,Kiki Gyan,24 Hours In A Disco 1978-82,Soundway,"2xLP, Comp",,2012,4080563,Uncategorized,2019-02-23 12:00:48,,,
SNDWLP087,Various,"Doing It In Lagos (Boogie, Pop & Disco In 1980s Nigeria)",Soundway,"3xLP, Comp + 7""",,2016,9425519,Uncategorized,2025-08-06 03:16:22,,,
SNDWLP137,Various,"Ritmo Fantasía: Balearic Spanish Synth​-​Pop, Boogie & House (1982​-​1992)",Soundway,"3xLP, Comp",,2021,21308809,Uncategorized,2025-08-06 03:17:56,,,
SNDWLP169,The Circling Sun,Spirits,Soundway,"LP, Album, RP",,2023,28262656,Uncategorized,2024-02-05 03:11:10,,,
SNDWLP199,The Circling Sun,Orbits,Soundway,"LP, Album, Fli",,2025,34495186,Uncategorized,2025-07-22 06:53:56,,,
SNDWLP090X,Lord Echo,Harmonies,"Soundway, World Of Sound (4)","2x12"", Album",,2017,10504693,Uncategorized,2019-02-23 12:06:43,,,
SOUTH010,Marvin Gaye,I Wanna Be Where You Are / I Want You,South Street,"12"", Ltd",,2023,27166710,Uncategorized,2023-06-09 13:59:19,,,
SSD65003P,Goody Goody,It Looks Like Love,South Street Disco,"12"", RE, RM",,2019,13632972,Uncategorized,2020-06-03 10:29:24,,,
SSD65005P,Roy Ayers Ubiquity,Running Away / Love Will Bring Us Back Together,South Street Disco,"12"", RE",,2021,17441113,Uncategorized,2021-03-27 01:48:53,,,
SSD7001P,Rare Pleasure,Let Me Down Easy,South Street Disco,"7"", RSD, RE",,2020,16068257,Uncategorized,2020-11-05 12:41:04,,,
SSINT003,Letta Mbulu,Nomalizo / Kilimanjaro Take Us Higher,South Street International,"12""",,2025,33905673,Uncategorized,2025-07-22 06:54:38,,,
SSS703,Alicia Myers,I Want To Thank You / Don't Stop What You're Doin,South Street Soul,"7""",,2024,31997975,Uncategorized,2025-02-08 05:03:57,,,
SGP001,Mad Honey,Upward Bound,Space Grapes,"12""",,2020,16208682,Uncategorized,2021-02-12 04:48:32,,,
SGP002,GALXTC,Life Is A Mirror,Space Grapes,"12""",,2021,18154621,Uncategorized,2021-05-15 03:25:53,,,
SGP003,Jambonne,Carpet Ride,Space Grapes,"7""",,2021,20299102,Uncategorized,2021-10-05 13:15:37,,,
SGP004,Mad Honey,Setback,Space Grapes,"12""",,2022,24480020,Uncategorized,2022-10-28 06:46:50,,,
SGP005,Jéroboam,Freakshow,Space Grapes,"12""",,2022,25331518,Uncategorized,2023-01-18 04:24:58,,,
SGP006,Jerry & The Melange / Bob & The Rustlers,New Room / Rustle Bob's Creek,Space Grapes,"12"", Ltd",,2023,26422682,Uncategorized,2023-03-24 08:46:15,,,
SGP007,Jéroboam,Turn Down The Lights ,Space Grapes,"12""",,2023,28108237,Uncategorized,2023-09-27 07:00:24,,,
SGP008,Another Taste,Another Taste,Space Grapes,"LP, Album, Tip",,2024,30169289,Uncategorized,2024-04-05 07:37:54,,,
SGP009,Collettivo Immaginario,Luce,Space Grapes,"12""",,2024,31942585,Uncategorized,2024-11-12 11:56:37,,,
SGP010,Arp Frique & The Perpetual Singers,The Another Taste Reworks,Space Grapes,"12""",,2025,32971350,Uncategorized,2025-02-08 05:04:16,,,
SGP011,Jambonne,"Jambonne, Jam On",Space Grapes,"7""",,2025,33832128,Uncategorized,2026-02-14 09:38:00,,,
SGP016,Another Taste,Another Taste II,Space Grapes,"LP, Album",,2026,37142373,Uncategorized,2026-04-27 10:20:01,,,
