Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"K 50693, K50693",Sister Sledge,Love Somebody Today,"Atlantic, Atlantic","LP, Album",,1980,450297,Uncategorized,2019-02-23 12:25:12,,,
0190296417856,Gabriels (3),Love And Hate In A Different Time (Mixes),"Atlas Artists (2), Parlophone","12""",,2021,20994196,Uncategorized,2022-02-22 10:44:01,,,
BK033AB,Rasa (9),When Will The Day Come / Questions In My Mind,Backatcha Records,"7""",,2024,30745635,Uncategorized,2024-06-08 11:09:41,,,
BK035,Various,Swave Villi Us (Independent Soul 1971-84),Backatcha Records,"2xLP, Comp",,2021,17471746,Uncategorized,2021-12-08 05:31:40,,,
BK040,Gerard Browne,Sexy Lady / Keep Dancing,Backatcha Records,"12"", RE",,2021,21140422,Uncategorized,2021-12-08 05:32:38,,,
BK060,The S.T.U.D. Band,Where's The Floor,Backatcha Records,"7"", RE",,2022,25131955,Uncategorized,2023-01-18 04:26:17,,,
BK107,Jumani,We Can Work It Out / Give Me Your Love,Backatcha Records,"7""",,2026,37904949,Uncategorized,2026-08-05 09:03:08,,,
BOTW008,Matt Wilde (2),Hello World ,Band On The Wall Recordings,"LP, Album",,2023,27713820,Uncategorized,2024-02-10 10:07:19,,,
BBE188ELP,Sandy Barber,I Think I'll Do Some Stepping (On My Own) (Remixes),BBE,"12""",,2022,24515240,Uncategorized,2022-09-17 06:51:19,,,
BBE480CLP,Rainer Trüby,Soulgliding,BBE,"2xLP, Comp",,2020,14660713,Uncategorized,2025-10-17 08:50:08,,,
BBE763ALP,Musclecars,Sugar Honey Iced Tea!,BBE,"2xLP, Album",,2024,30722111,Uncategorized,2024-05-21 01:58:50,,,
BBE805ALP,"Allysha Joy, Hidden Spheres, Finn Rees",Solina,BBE,"LP, Album",,2025,34253512,Uncategorized,2025-07-04 00:57:14,,,
"BBE304SLP, T-1281",Martin Dumas Jr,"Attitude, Belief & Determination","BBE, Taurean Connection","12"", RM",,2015,7012435,Uncategorized,2020-02-13 14:02:58,,,
BEWITH001SEVEN,Aretha Franklin,One Step Ahead,Be With Records,"7"", RE",,2017,11184812,Uncategorized,2020-07-12 20:13:23,,,
BEWITH003LP,Ned Doheny,Hard Candy,Be With Records,"LP, Album, RE, 180",,2014,5902516,Uncategorized,2020-03-25 15:09:16,,,
BEWITH006SEVEN,TLC,Creep,Be With Records,"7"", RE",,2020,15739577,Uncategorized,2021-08-13 01:26:19,,,
BEWITH011TWELVE,Skyy,Here's To You / You Got Me Up,Be With Records,"12"", RE, RM",,2019,13852405,Uncategorized,2021-08-13 01:26:02,,,
BEWITH016TWELVE,The Mighty Soulmates,The Mighty Soulmates,Be With Records,"12"", EP",,2021,20938489,Uncategorized,2021-11-27 08:43:02,,,
BEWITH018TWELVE,Rhye,The Fall (Maurice Fulton Remix),Be With Records,"12"", RE",,2024,30360332,Uncategorized,2024-05-11 05:24:24,,,
BEWITH099LP,Lewis Taylor,Lewis Taylor,Be With Records,"2xLP, Album, RE",,2021,19746805,Uncategorized,2021-08-13 01:25:24,,,
BEWITH174LP,Mark De Clive-Lowe,Six Degrees,Be With Records,"2xLP, Album, Ltd, RE, 25t",,2025,34418314,Uncategorized,2025-07-22 06:53:43,,,
BONN012,Wayward (3),Green Lanes EP,Beats Of No Nation,"12""",,2018,12822814,Uncategorized,2019-06-26 12:56:06,,,
BELLAV225C,Beach House,Teen Dream,Bella Union,"2xLP, Album, RE, Cle",,2020,15506952,Uncategorized,2020-06-24 11:25:00,,,
BEST003,Kuniyuki Takahashi x Soichi Terada x Sauce81,Let's Get Down EP,Beyond Space And Time,"12"", EP",,2022,24892757,Uncategorized,2023-01-18 04:22:57,,,
BD304,Yaya Bey,Remember Your North Star,Big Dada Recordings,"LP, Album, Cry",,2022,23614265,Uncategorized,2022-10-28 06:46:12,,,
BCRLP 07,Greg Foat,The Glass Frog,Blue Crystal Records (2),"LP, Album, Ltd",,2024,31355569,Uncategorized,2024-09-06 15:17:26,,,
"00602508909276, 0890927",Various,Blue Note Re:imagined (2020),"Blue Note, Blue Note","2xLP, Comp",,2020,15969349,Uncategorized,2020-11-26 16:10:32,,,
"602478496738, BN-LA551-G",Bobby Hutcherson,Montara,"Blue Note, Blue Note","LP, Album, RE, 180",,2025,35089718,Uncategorized,2026-02-11 12:37:34,,,
"6581682, BN-LA368-G, 0602465816822",Donald Byrd,Stepping Into Tomorrow,"Blue Note, Blue Note, UMe","LP, Album, RE",,2025,34573072,Uncategorized,2025-07-22 06:52:54,,,
"0744042, 84194, ST-84194, BST 84194",Wayne Shorter,Speak No Evil,"Blue Note, UMe, Blue Note, Blue Note, Blue Note","LP, Album, RE, 180",,2021,16941774,Uncategorized,2023-03-23 05:02:03,,,
"7764740, BST 84127, ST-84127, 84127, 0060257764740",Kenny Dorham,Una Mas (One More Time),"Blue Note, UMe, Blue Note, Blue Note, Blue Note, Blue Note, UMe","LP, Album, RE, 180",,2019,14130525,Uncategorized,2024-12-20 06:31:19,,,
"4859562, ST-84175, 84175, 00602448595621, BST 8417",Herbie Hancock,Empyrean Isles,"Blue Note, UMe, Blue Note, Blue Note, UMe, Blue Note, Blue Note","LP, Album, RE, 180",,2023,26441327,Uncategorized,2023-08-17 01:58:28,,,
"3596800, 00602435968001, BN-LA549-G",Donald Byrd,Places And Spaces,"Blue Note, UMe, Blue Note, UMe, Blue Note","LP, Album, RE, 180",,2021,21035152,Uncategorized,2023-03-03 11:25:08,,,
"5524252, 00602455242525, ST-84149, BST 84149, 8414",Hank Mobley,No Room For Squares,"Blue Note, UMe, Blue Note, UMe, Blue Note, Blue Note, Blue Note","LP, Album, RE, 180",,2023,28647442,Uncategorized,2025-10-18 08:35:12,,,
"5552940, 00602455529404, ST-84173, BST 84173, 8417",Wayne Shorter,Night Dreamer,"Blue Note, UMe, Blue Note, UMe, Blue Note, Blue Note, Blue Note","LP, Album, RE, 180",,2023,28940779,Uncategorized,2023-11-21 09:21:42,,,
"5831994, 00602458319941, 84169, BST-84169, ST-8416",Lee Morgan,Search For The New Land,"Blue Note, UMe, Blue Note, UMe, Blue Note, Blue Note, Blue Note","LP, Album, RE, 180",,2024,29810041,Uncategorized,2024-02-16 10:10:08,,,
"5832003, 00602458320039, 84124, ST-84124, BST 8412",Donald Byrd,A New Perspective,"Blue Note, UMe, Blue Note, UMe, Blue Note, Blue Note, Blue Note","LP, Album, RE, 180",,2024,30095996,Uncategorized,2024-04-10 12:30:56,,,
"5880786, 00602458807868, 84182, ST-84182, BST 8418",Wayne Shorter,Juju,"Blue Note, UMe, Blue Note, UMe, Blue Note, Blue Note, Blue Note","LP, Album, RE, 180",,2024,31488536,Uncategorized,2024-12-03 05:58:14,,,
"3593196, 00602435931968, 84195, ST-84195, BST 8419",Herbie Hancock,Maiden Voyage,"Blue Note, UMe, UMe, Blue Note, Blue Note, Blue Note","LP, Album, RE, 180",,2021,20316430,Uncategorized,2024-12-03 05:58:53,,,
BMGCAT843DLP,Richard Hawley,Now Then: The Very Best Of Richard Hawley,BMG,"LP, Blu + LP, Whi + Comp",,2023,28647640,Uncategorized,2023-10-20 13:48:11,,,
"POSPX 807, 885 106-1",Gwen Guthrie,Ain't Nothin' Goin' On But The Rent,"Boiling Point, Polydor, Polydor","12"", Single",,1986,223279,Uncategorized,2019-02-23 12:18:32,,,
BB45-002,Caserta,Luther,Bridge Boots,"7"", Unofficial",,2019,14214956,Uncategorized,2021-06-09 13:16:14,,,
BWOOD0175LP,Various,We Out Here,Brownswood Recordings,"2xLP, Album, Comp",,2018,11427555,Uncategorized,2019-02-23 12:05:11,,,
BWOOD0199EP,Kokoroko,Kokoroko,Brownswood Recordings,"12"", EP",,2019,13308241,Uncategorized,2019-03-05 23:12:32,,,
BWOOD0205LP,Various,Sunny Side Up,Brownswood Recordings,"2xLP, Album, Comp, Ltd, Mag",,2019,13909511,Uncategorized,2019-09-30 10:32:18,,,
BWOOD0240LP,STR4TA,Aspects,Brownswood Recordings,"LP, Album",,2021,17674654,Uncategorized,2021-03-31 03:41:20,,,
BWOOD0260,Secret Night Gang,The Sun,Brownswood Recordings,"12"", Ltd, 3D ",,2021,20089537,Uncategorized,2021-12-07 13:44:09,,,
BWOOD245,STR4TA,Aspects,Brownswood Recordings,"12"", Ltd, W/Lbl, Han",,2020,15950453,Uncategorized,2020-12-11 14:31:13,,,
DISCO 211,Vaughan Mason & Crew,"Bounce, Rock, Skate, Roll",Brunswick,"12""",,1979,167144,Uncategorized,2019-02-23 12:20:49,,,
DISCO115P,Gladys Knight And The Pips,Love Is Always On Your Mind / Bourgie' Bourgie',Buddah Records,"12"", RE, RM",,2017,10438371,Uncategorized,2019-10-10 22:18:54,,,
"C/C 50006, CC 50006, CC-50006",Rotary Connection,"Hey, Love","Cadet, Cadet Concept, Cadet Concept","LP, Album, RE",,2001,11297919,Uncategorized,2019-04-09 15:24:36,,,
"CBS 83284, FC 35647","Earth, Wind & Fire",The Best Of Earth Wind & Fire Vol. I,"CBS, CBS","LP, Comp, Gat",,1978,3215835,Uncategorized,2019-02-23 12:31:02,,,
BK 034,Toast (13),It's Just An Illusion,Charm City Records (4),"7"", RE",,2021,19006294,Uncategorized,2021-08-14 03:43:44,,,
none,"Everton F.C., Liverpool Express",Spirit Of The Blues,Cherry Red,"7"", Ltd",,2020,16243927,Uncategorized,2021-02-12 08:56:23,,,
CMC30YRSLP2,Various,Classic Classic Chapter 02,Classic,"2x12"", Comp",,2025,35501086,Uncategorized,2026-02-14 08:41:19,,,
EXS039,Charles Earland,Coming To You Live,Columbia,"7"", Single",,2023,26559515,Uncategorized,2026-01-24 04:48:02,,,
00888072186248,Nubya Garcia,Source,Concord Jazz,"2xLP, Album, Ltd, Tur",,2020,15794842,Uncategorized,2020-08-24 18:27:21,,,
BK084,Various,Congress Productions,Congress Productions,"12""",,2023,28984837,Uncategorized,2024-02-16 10:08:39,,,
CORD12003,Family Of Swede,Set You Free,Cordial Recordings,"12"", Single",,2020,16076927,Uncategorized,2020-10-24 22:41:06,,,
CORD7027,Tashan,This Could Be,Cordial Recordings,"7""",,2021,19255024,Uncategorized,2021-07-17 02:57:51,,,
"COT 50 587, SD 5209",Sister Sledge,We Are Family,"Cotillion, Atlantic","LP, Album",,1979,100002,Uncategorized,2019-02-23 12:25:41,,,
"CR00827, 00888072640627",Various,Fania Records: The Latin Sound Of New York (1964-1978),"Craft Recordings, Craft Recordings, Craft Recordings Latino, Craft Recordings Latino, Fania Records, Fania Records","2xLP, Comp",,2025,33024036,Uncategorized,2025-02-08 05:03:20,,,
DLM010,Da Lata,Jungle Kitten ,Da Lata Music,"12"", Ltd, Ora",,2021,20571544,Uncategorized,2022-11-10 02:47:16,,,
DD007,Jimetta Rose & The Voices Of Creation,How Good It Is,"Day Dreamer, Amor In Sound","LP, Album",,2023,26438102,Uncategorized,2023-09-13 04:31:27,,,
DE 002 ,Eddie Chacon,"Pleasure, Joy And Happiness",Day End Records,LP,,2020,16048651,Uncategorized,2021-12-22 04:33:12,,,
SKL 5065,The Rolling Stones,Get Yer Ya-Ya's Out! (The Rolling Stones In Concert),Decca,"LP, Album",,1970,1151061,Uncategorized,2019-02-23 12:47:02,,,
DM007,Myele Manzanza,Crisis & Opportunity (Vol 1) (London),DeepMatter,"LP, Album",,2021,18104200,Uncategorized,2021-05-18 13:51:08,,,
DFTDPACH01LP,Various,Pacha House Classics,Defected,"3x12"", Comp, Ltd",,2025,34175350,Uncategorized,2025-11-23 09:30:53,,,
DEMSING008,Shaun Escoffery,Days Like This,Demon Records,"12"", RM",,2023,26907686,Uncategorized,2023-08-02 02:32:03,,,
DNSCR004,Jimmy James & The Vagabonds / Sonya Spence,This Heart Of Mine / Let Love Flow On,Deptford Northern Soul Club Records,"7"", Single",,2020,15077329,Uncategorized,2020-06-23 12:29:10,,,
DWR-001,Rogê,Curyman,Diamond West,"LP, Album",,2023,26201468,Uncategorized,2023-04-14 09:54:24,,,
DFL002,Sweet Mixture,I Love You,Discs Of Fun And Love,"7"", RE, RM",,2020,14508440,Uncategorized,2020-11-26 16:08:30,,,
DFL003,Mandisa (2),Summer Love / Love's Dream,Discs Of Fun And Love,"7"", RE, RM",,2020,15554784,Uncategorized,2020-08-24 20:56:25,,,
MESS001,Cristina Camargo,Moral Tem Hora,Disques Messagers,"7"", Single",,2023,27089340,Uncategorized,2023-06-09 13:58:56,,,
DYNAM7061,Starcrost,False Paradise,Dynamite Cuts,"7"", Single",,2019,14402381,Uncategorized,2019-12-06 22:54:27,,,
ESOUL12003,Luke Una,É Soul Cultura Edits,"É Soul Cultura, Mr Bongo","12""",,2025,33985278,Uncategorized,2025-05-22 06:22:12,,,
K 52109,Aquarian Dream (2),Fantasy,Elektra,"LP, Album",,1978,2253743,Uncategorized,2023-06-27 08:40:30,,,
"603497843510, RR1 317068",Various,Lost In Translation (Music From The Motion Picture Soundtrack),"Emperor Norton, Emperor Norton","LP, RE, RP",,2022,21706189,Uncategorized,2022-01-20 08:34:43,,,
7PR65006,The Isley Brothers,Footsteps In The Dark (Part 1 & 2) / Between The Sheets,Epic,"7"", RSD",,2019,13483436,Uncategorized,2019-04-16 20:08:43,,,
EPC 26044,Sade,Diamond Life,Epic,"LP, Album, Gat",,1984,3460957,Uncategorized,2019-02-23 12:22:11,,,
PR65012P,George Duke,I Want You For Myself (Tom Moulton Mix),Epic,"12"", Single, RE",,2018,12699472,Uncategorized,2019-02-23 12:17:06,,,
EROS 01,Various,Eros,Eros (2),"12"", Unofficial",,2011,3027858,Uncategorized,2023-05-15 10:41:19,,,
Everland 45-003,Stevens & Foster,What Would I Have (If I Didn't Have You),Everland,"7"", RE",,2018,11855145,Uncategorized,2019-10-10 22:16:53,,,
EXUMG08,Brenda Lee Jones,Super Stroke / Big Mistake,Expansion,"7"", RE",,2020,15504898,Uncategorized,2020-07-12 20:14:03,,,
EXPAND 109,Gwen McCrae,Keep The Fire Burning / Funky Sensation,"Expansion, Atlantic","12"", RE",,2018,11434445,Uncategorized,2019-02-23 12:13:35,,,
EXPAND 116,Sylvia Striplin,Give Me Your Love / You Can't Turn Me Away,"Expansion, Uno Melodic Records","12"", RE, 180",,2018,12915462,Uncategorized,2019-02-23 12:14:21,,,
FAR001,The Illusions (26) & Nathan Haines,Find Your Way,Family Affair Recordings,"LP, M/Print",,2026,37776072,Uncategorized,2026-07-10 11:21:18,,,
FARO 022LPX,Marcos Valle,Nova Bossa Nova,Far Out Recordings,"LP, RE, 180",,2018,12523918,Uncategorized,2024-08-08 10:37:48,,,
FARO170LPX,Azymuth,Light As A Feather,Far Out Recordings,"LP, Album, RSD, Ltd, RE, RM, Blu",,2022,23003426,Uncategorized,2022-04-25 03:17:23,,,
FARO211,Marcos Valle,Sempre,Far Out Recordings,"LP, Album",,2019,13783740,Uncategorized,2019-09-12 16:25:49,,,
FARO228LP,Alex Malheiros,Tempos Futuros,Far Out Recordings,"LP, Album",,2021,21123538,Uncategorized,2021-11-27 07:34:29,,,
FARO255LP,Fabiano Nascimento & Orquestra De Vittor Santos,Vila,Far Out Recordings,"LP, Album",,2026,36638488,Uncategorized,2026-03-22 06:28:50,,,
JD25X,Azymuth,Jazz Carnival,Far Out Recordings,"12"", RSD, Ltd",,2024,30431192,Uncategorized,2024-05-11 05:27:00,,,
JD55,Marcos Valle & Leon Ware,Feels So Good,Far Out Recordings,"7"", Single, Ltd",,2024,31407410,Uncategorized,2024-08-08 10:38:13,,,
JD58,Nicola Conte,Terra Em Trasse / Naquela Base,Far Out Recordings,"7""",,2026,37050663,Uncategorized,2026-04-27 10:19:12,,,
FVR103,Various,"Brazilian Disco Boogie Sounds (Extended 12"" Versions)",Favorite Recordings,"12""",,2015,7137088,Uncategorized,2022-01-20 08:33:28,,,
FAR040,Andromeda Orchestra,Don't Stop,Faze Action,"12""",,2019,14114206,Uncategorized,2019-09-30 10:31:29,,,
3795300,Tame Impala,Lonerism,"Fiction Records, Caroline Records, Universal Music Group","2xLP, Album, RE",,2014,6403221,Uncategorized,2025-04-22 04:40:22,,,
FDR 001,Lynda Dawn,11th Hour,First Dawn Records,LP,,2024,32545953,Uncategorized,2024-12-22 12:50:21,,,
FW175,Yazmin Lacey,When The Sun Dips 90 Degrees,First Word Records,"12"", EP",,2018,12183299,Uncategorized,2019-02-23 12:02:52,,,
FW285,Various,Love & Purpose: A Celebration of British Soul Music,First Word Records,"2xLP, Comp",,2024,31444151,Uncategorized,2024-08-11 09:39:45,,,
FW288,Takuya Kuroda,Rising Son,First Word Records,"2xLP, Album, RE",,2024,29657095,Uncategorized,2024-05-22 04:44:04,,,
XXQLP2 094,Gil Scott-Heron,Pieces Of A Man,"Flying Dutchman, BGP Records","2x12"", Album, RE, RM, 180",,2022,25032481,Uncategorized,2022-11-14 05:41:38,,,
FLO0002,Sault,5,Forever Living Originals,"LP, Album",,2019,14025860,Uncategorized,2019-08-22 12:07:54,,,
FLO0005LP,Sault,Untitled (Black Is),Forever Living Originals,"2xLP, Album",,2020,15912430,Uncategorized,2020-09-25 13:38:04,,,
FLO0006LP,Sault,Untitled (Rise),Forever Living Originals,"2xLP, Album",,2020,16141600,Uncategorized,2020-12-11 14:31:42,,,
FLO0008LP,Sault,Nine,Forever Living Originals,"LP, Album",,2021,20408065,Uncategorized,2021-11-03 13:48:46,,,
"FLO0011LP, FLO00011LP",Sault,11,"Forever Living Originals, Forever Living Originals","LP, Album",,2023,26830313,Uncategorized,2023-05-15 10:40:44,,,
"FLO0015LP, FLO00015LP",Sault,Untitled (God),"Forever Living Originals, Forever Living Originals","2xLP, Album",,2023,26953016,Uncategorized,2023-05-15 10:40:31,,,
FJMEDITS 01,Various,Let's Dance Vol. 1,Funkyjaws,"12""",,2024,28703536,Uncategorized,2024-02-28 13:24:02,,,
GAMM158,Opolopo,Matinee Idol,G.A.M.M.,"12"", Promo",,2021,19646677,Uncategorized,2021-10-05 13:17:33,,,
